Image,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 36,1,0,0,1,0,0,1.0,0.01282051282051282,0.0
Image 5,1,0,0,2,0,0,1.0,0.025,0.04878048780487806
Image 23,1,0,0,3,0,0,1.0,0.037037037037037035,0.07142857142857142
Image 23,1,0,0,4,0,0,1.0,0.04878048780487805,0.09302325581395349
Image 55,1,0,0,5,0,0,1.0,0.060240963855421686,0.11363636363636363
Image 55,1,0,0,6,0,0,1.0,0.07142857142857142,0.13333333333333333
Image 18,1,0,0,7,0,0,1.0,0.08235294117647059,0.15217391304347827
Image 18,1,0,0,8,0,0,1.0,0.09302325581395349,0.1702127659574468
Image 31,1,0,0,9,0,0,1.0,0.10344827586206896,0.1875
Image 13,1,0,0,10,0,0,1.0,0.11363636363636363,0.20408163265306123
Image 13,1,0,0,11,0,0,1.0,0.12359550561797752,0.21999999999999997
Image 56,1,0,0,12,0,0,1.0,0.13333333333333333,0.23529411764705882
Image 56,1,0,0,13,0,0,1.0,0.14285714285714285,0.25
Image 6,1,0,0,14,0,0,1.0,0.15217391304347827,0.2641509433962264
Image 6,1,0,0,15,0,0,1.0,0.16129032258064516,0.27777777777777773
Image 31,1,0,0,16,0,0,1.0,0.1702127659574468,0.2909090909090909
Image 5,1,0,0,17,0,0,1.0,0.17894736842105263,0.30357142857142855
Image 37,1,0,0,18,0,0,1.0,0.1875,0.3157894736842105
Image 59,1,0,0,19,0,0,1.0,0.1958762886597938,0.3275862068965517
Image 59,1,0,0,20,0,0,1.0,0.20408163265306123,0.3389830508474576
Image 36,1,0,0,21,0,0,1.0,0.21212121212121213,0.35
Image 41,1,0,0,22,0,0,1.0,0.22,0.36065573770491804
Image 41,1,0,0,23,0,0,1.0,0.22772277227722773,0.3709677419354839
Image 37,1,0,0,24,0,0,1.0,0.23529411764705882,0.38095238095238093
Image 52,0,1,0,24,1,0,0.96,0.23529411764705882,0.37795275590551175
Image 52,0,1,0,24,2,0,0.9230769230769231,0.23529411764705882,0.375
Image 49,0,1,0,24,3,0,0.8888888888888888,0.23529411764705882,0.3720930232558139
Image 41,0,1,0,24,4,0,0.8571428571428571,0.23529411764705882,0.36923076923076925
Image 41,0,1,0,24,5,0,0.8275862068965517,0.23529411764705882,0.366412213740458
Image 49,0,1,0,24,6,0,0.8,0.23529411764705882,0.3636363636363636
Image 49,0,1,0,24,7,0,0.7741935483870968,0.23529411764705882,0.3609022556390977
Image 47,0,1,0,24,8,0,0.75,0.23529411764705882,0.3582089552238805
Image 49,0,1,0,24,9,0,0.7272727272727273,0.23529411764705882,0.3555555555555555
Image 42,0,1,0,24,10,0,0.7058823529411765,0.23529411764705882,0.35294117647058826
Image 47,0,1,0,24,11,0,0.6857142857142857,0.23529411764705882,0.35036496350364965
Image 47,0,0,1,24,11,1,0.6857142857142857,0.23529411764705882,0.35036496350364965
Image 41,0,1,0,24,12,1,0.6666666666666666,0.23529411764705882,0.3478260869565218
Image 41,0,1,0,24,13,1,0.6486486486486487,0.23529411764705882,0.34532374100719426
Image 53,0,1,0,24,14,1,0.631578947368421,0.23529411764705882,0.34285714285714286
Image 47,0,0,1,24,14,2,0.631578947368421,0.23529411764705882,0.34285714285714286
Image 43,0,1,0,24,15,2,0.6153846153846154,0.23529411764705882,0.3404255319148936
Image 43,0,1,0,24,16,2,0.6,0.23529411764705882,0.33802816901408456
Image 42,0,1,0,24,17,2,0.5853658536585366,0.23529411764705882,0.3356643356643357
Image 53,0,1,0,24,18,2,0.5714285714285714,0.23529411764705882,0.3333333333333333
Image 54,0,1,0,24,19,2,0.5581395348837209,0.23529411764705882,0.3310344827586207
Image 54,0,0,1,24,19,3,0.5581395348837209,0.23529411764705882,0.3310344827586207
Image 59,0,1,0,24,20,3,0.5454545454545454,0.23529411764705882,0.3287671232876712
Image 63,0,0,1,24,20,4,0.5454545454545454,0.23529411764705882,0.3287671232876712
Image 60,0,1,0,24,21,4,0.5333333333333333,0.23529411764705882,0.326530612244898
Image 60,0,1,0,24,22,4,0.5217391304347826,0.23529411764705882,0.32432432432432434
Image 60,0,1,0,24,23,4,0.5106382978723404,0.23529411764705882,0.3221476510067114
Image 60,0,1,0,24,24,4,0.5,0.23529411764705882,0.31999999999999995
Image 60,0,1,0,24,25,4,0.4897959183673469,0.23529411764705882,0.31788079470198677
Image 60,0,1,0,24,26,4,0.48,0.23529411764705882,0.3157894736842105
Image 60,0,1,0,24,27,4,0.47058823529411764,0.23529411764705882,0.3137254901960785
Image 59,0,1,0,24,28,4,0.46153846153846156,0.23529411764705882,0.31168831168831174
Image 59,0,1,0,24,29,4,0.4528301886792453,0.23529411764705882,0.3096774193548387
Image 59,0,1,0,24,30,4,0.4444444444444444,0.23529411764705882,0.30769230769230765
Image 59,0,1,0,24,31,4,0.43636363636363634,0.23529411764705882,0.3057324840764331
Image 54,0,0,1,24,31,5,0.43636363636363634,0.23529411764705882,0.3057324840764331
Image 57,0,1,0,24,32,5,0.42857142857142855,0.23529411764705882,0.30379746835443033
Image 57,0,1,0,24,33,5,0.42105263157894735,0.23529411764705882,0.3018867924528302
Image 55,0,1,0,24,34,5,0.41379310344827586,0.23529411764705882,0.3
Image 55,0,1,0,24,35,5,0.4067796610169492,0.23529411764705882,0.2981366459627329
Image 55,0,0,1,24,35,6,0.4067796610169492,0.23529411764705882,0.2981366459627329
Image 55,0,1,0,24,36,6,0.4,0.23529411764705882,0.29629629629629634
Image 55,0,1,0,24,37,6,0.39344262295081966,0.23529411764705882,0.29447852760736193
Image 39,0,0,1,24,37,7,0.39344262295081966,0.23529411764705882,0.29447852760736193
Image 54,0,1,0,24,38,7,0.3870967741935484,0.23529411764705882,0.29268292682926833
Image 54,0,1,0,24,39,7,0.38095238095238093,0.23529411764705882,0.29090909090909084
Image 54,0,1,0,24,40,7,0.375,0.23529411764705882,0.28915662650602403
Image 39,0,0,1,24,40,8,0.375,0.23529411764705882,0.28915662650602403
Image 0,0,1,0,24,41,8,0.36923076923076925,0.23529411764705882,0.2874251497005988
Image 38,0,0,1,24,41,9,0.36923076923076925,0.23529411764705882,0.2874251497005988
Image 38,0,0,1,24,41,10,0.36923076923076925,0.23529411764705882,0.2874251497005988
Image 20,0,1,0,24,42,10,0.36363636363636365,0.23529411764705882,0.2857142857142857
Image 14,0,0,1,24,42,11,0.36363636363636365,0.23529411764705882,0.2857142857142857
Image 14,0,0,1,24,42,12,0.36363636363636365,0.23529411764705882,0.2857142857142857
Image 14,0,0,1,24,42,13,0.36363636363636365,0.23529411764705882,0.2857142857142857
Image 14,0,0,1,24,42,14,0.36363636363636365,0.23529411764705882,0.2857142857142857
Image 14,0,0,1,24,42,15,0.36363636363636365,0.23529411764705882,0.2857142857142857
Image 12,0,1,0,24,43,15,0.3582089552238806,0.23529411764705882,0.28402366863905326
Image 12,0,1,0,24,44,15,0.35294117647058826,0.23529411764705882,0.2823529411764706
Image 11,0,1,0,24,45,15,0.34782608695652173,0.23529411764705882,0.28070175438596484
Image 10,0,1,0,24,46,15,0.34285714285714286,0.23529411764705882,0.2790697674418605
Image 10,0,1,0,24,47,15,0.3380281690140845,0.23529411764705882,0.2774566473988439
Image 7,0,1,0,24,48,15,0.3333333333333333,0.23529411764705882,0.27586206896551724
Image 7,0,1,0,24,49,15,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,16,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,17,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,18,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,19,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,20,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,21,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 2,0,0,1,24,49,22,0.3287671232876712,0.23529411764705882,0.27428571428571424
Image 1,0,1,0,24,50,22,0.32432432432432434,0.23529411764705882,0.2727272727272727
Image 1,0,1,0,24,51,22,0.32,0.23529411764705882,0.2711864406779661
Image 1,0,1,0,24,52,22,0.3157894736842105,0.23529411764705882,0.26966292134831465
Image 0,0,1,0,24,53,22,0.3116883116883117,0.23529411764705882,0.2681564245810056
Image 0,0,1,0,24,54,22,0.3076923076923077,0.23529411764705882,0.26666666666666666
Image 20,0,1,0,24,55,22,0.3037974683544304,0.23529411764705882,0.26519337016574585
Image 21,0,1,0,24,56,22,0.3,0.23529411764705882,0.26373626373626374
Image 21,0,1,0,24,57,22,0.2962962962962963,0.23529411764705882,0.2622950819672131
Image 30,0,1,0,24,58,22,0.2926829268292683,0.23529411764705882,0.2608695652173913
Image 38,0,0,1,24,58,23,0.2926829268292683,0.23529411764705882,0.2608695652173913
Image 38,0,0,1,24,58,24,0.2926829268292683,0.23529411764705882,0.2608695652173913
Image 37,0,1,0,24,59,24,0.2891566265060241,0.23529411764705882,0.2594594594594595
Image 0,0,1,0,24,60,24,0.2857142857142857,0.23529411764705882,0.2580645161290323
Image 35,0,0,1,24,60,25,0.2857142857142857,0.23529411764705882,0.2580645161290323
Image 35,0,0,1,24,60,26,0.2857142857142857,0.23529411764705882,0.2580645161290323
Image 32,0,1,0,24,61,26,0.2823529411764706,0.23529411764705882,0.25668449197860965
Image 32,0,1,0,24,62,26,0.27906976744186046,0.23529411764705882,0.2553191489361702
Image 31,0,1,0,24,63,26,0.27586206896551724,0.23529411764705882,0.253968253968254
Image 31,0,1,0,24,64,26,0.2727272727272727,0.23529411764705882,0.2526315789473684
Image 30,0,1,0,24,65,26,0.2696629213483146,0.23529411764705882,0.2513089005235602
Image 28,0,1,0,24,66,26,0.26666666666666666,0.23529411764705882,0.25
Image 23,0,1,0,24,67,26,0.26373626373626374,0.23529411764705882,0.24870466321243523
Image 28,0,1,0,24,68,26,0.2608695652173913,0.23529411764705882,0.24742268041237112
Image 26,0,1,0,24,69,26,0.25806451612903225,0.23529411764705882,0.24615384615384614
Image 26,0,1,0,24,70,26,0.2553191489361702,0.23529411764705882,0.24489795918367344
Image 25,0,0,1,24,70,27,0.2553191489361702,0.23529411764705882,0.24489795918367344
Image 25,0,0,1,24,70,28,0.2553191489361702,0.23529411764705882,0.24489795918367344
Image 25,0,1,0,24,71,28,0.25263157894736843,0.23529411764705882,0.2436548223350254
Image 25,0,1,0,24,72,28,0.25,0.23529411764705882,0.24242424242424243
Image 25,0,0,1,24,72,29,0.25,0.23529411764705882,0.24242424242424243
Image 25,0,0,1,24,72,30,0.25,0.23529411764705882,0.24242424242424243
Image 25,0,0,1,24,72,31,0.25,0.23529411764705882,0.24242424242424243
Image 25,0,0,1,24,72,32,0.25,0.23529411764705882,0.24242424242424243
Image 63,0,0,1,24,72,33,0.25,0.23529411764705882,0.24242424242424243
